exposure	outcome_dataset	outcome_population	instrument_setting	setting_label	method	nsnp	beta	se	z	pval	OR	OR_lci95	OR_uci95	OR_CI95	Q	Q_df	Q_pval	direction_summary
AHR_expression_eQTLGen_whole_blood	FinnGen_R12_I9_MYOCARD	Finnish / European	p0p00000005_r2_0p001_kb10000	p<5e-8, r2<0.001, 10Mb	Inverse variance weighted	3	-0.0841541441589101	0.110883737017888	-0.758940367831707	0.447888229496635	0.919289542059954	0.739717983564117	1.14245331453071	0.919 (0.740–1.142)	2.7897532102217	2	0.247863619584147	negative_not_significant
AHR_expression_eQTLGen_whole_blood	FinnGen_R12_I9_MYOCARD	Finnish / European	p0p00000005_r2_0p01_kb10000	p<5e-8, r2<0.01, 10Mb	Inverse variance weighted	6	-0.111110934458782	0.0996662344014171	-1.11483026449329	0.264923164687775	0.894839474889833	0.736050348808698	1.08788439149185	0.895 (0.736–1.088)	5.53970821247952	5	0.353611375542238	negative_not_significant
AHR_expression_eQTLGen_whole_blood	FinnGen_R12_I9_MYOCARD	Finnish / European	p0p000001_r2_0p001_kb10000	p<1e-6, r2<0.001, 10Mb	Inverse variance weighted	4	-0.0962782084309693	0.109662446940457	-0.877950575763142	0.37997054090124	0.908211308874469	0.732555183982075	1.12598722881696	0.908 (0.733–1.126)	3.33548353071534	3	0.34273445370738	negative_not_significant
AHR_expression_eQTLGen_whole_blood	FinnGen_R12_I9_MYOCARD	Finnish / European	p0p000001_r2_0p01_kb10000	p<1e-6, r2<0.01, 10Mb	Inverse variance weighted	8	-0.0849275438170949	0.0981219003499457	-0.865530972333455	0.386747423902325	0.918578838706643	0.757867683576194	1.11336992090495	0.919 (0.758–1.113)	7.99843564516643	7	0.332731866289622	negative_not_significant
AHR_expression_eQTLGen_whole_blood	FinnGen_R12_I9_MYOCARD	Finnish / European	p0p00001_r2_0p001_kb10000	p<1e-5, r2<0.001, 10Mb	Inverse variance weighted	4	-0.0962782084309693	0.109662446940457	-0.877950575763142	0.37997054090124	0.908211308874469	0.732555183982075	1.12598722881696	0.908 (0.733–1.126)	3.33548353071534	3	0.34273445370738	negative_not_significant
AHR_expression_eQTLGen_whole_blood	FinnGen_R12_I9_MYOCARD	Finnish / European	p0p00001_r2_0p01_kb10000	p<1e-5, r2<0.01, 10Mb	Inverse variance weighted	9	-0.0880177957377301	0.0974110375912236	-0.90357107278837	0.366222885804772	0.915744580227944	0.756582702329366	1.10838925293297	0.916 (0.757–1.108)	8.06713965448629	8	0.42693936254021	negative_not_significant
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p00000005_r2_0p001_kb10000	p<5e-8, r2<0.001, 10Mb	Wald ratio	1	0.695950500897761	1.05958833810212	0.656812156072151	0.511301706921199	2.00561450662909	0.251366651750381	16.002478933425	2.006 (0.251–16.002)	NA	NA	NA	positive_not_significant
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p00000005_r2_0p01_kb10000	p<5e-8, r2<0.01, 10Mb	Inverse variance weighted	4	0.0519113075952985	0.755805879971677	0.0686833867940321	0.945241642389766	1.05328232022869	0.239436216468093	4.63339950184259	1.053 (0.239–4.633)	6.19985264317638	3	0.102281620968194	positive_not_significant
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p000001_r2_0p001_kb10000	p<1e-6, r2<0.001, 10Mb	Inverse variance weighted	2	0.684671733157665	1.0581121584729	0.647069148270448	0.517587191534504	1.98312073589385	0.249267640717457	15.7772899916437	1.983 (0.249–15.777)	0.0406929861464724	1	0.840131696800252	positive_not_significant
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p000001_r2_0p01_kb10000	p<1e-6, r2<0.01, 10Mb	Inverse variance weighted	4	0.0519113075952985	0.755805879971677	0.0686833867940321	0.945241642389766	1.05328232022869	0.239436216468093	4.63339950184259	1.053 (0.239–4.633)	6.19985264317638	3	0.102281620968194	positive_not_significant
