exposure	outcome_dataset	outcome_population	instrument_setting	method	nsnp	beta	se	z	pval	OR	OR_lci95	OR_uci95	Q	Q_df	Q_pval	egger_intercept	egger_intercept_se	egger_intercept_pval
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p00000005_r2_0p001_kb10000	Wald ratio	1	0.695950500897761	1.05958833810212	0.656812156072151	0.511301706921199	2.00561450662909	0.251366651750381	16.002478933425	NA	NA	NA	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p00000005_r2_0p001_kb10000	Inverse variance weighted	3	0.0985944326550057	0.202427692789513	0.487060002988453	0.626215809699308	1.1036186171099	0.742179727190159	1.64107696210288	1.81464168394525	2	0.403604095967516	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p00000005_r2_0p001_kb10000	MR Egger	3	0.104564044698109	0.120784120697589	0.865710195133261	0.386649107696639	1.1102264957101	0.876189548514941	1.40677650614055	NA	NA	NA	0.0591276563961167	0.029201080815703	0.292035051107756
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p00000005_r2_0p01_kb10000	Inverse variance weighted	4	0.0519113075952985	0.755805879971677	0.0686833867940321	0.945241642389766	1.05328232022869	0.239436216468093	4.63339950184259	6.19985264317638	3	0.102281620968194	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p00000005_r2_0p01_kb10000	MR Egger	4	-0.289123298770166	1.08270509412432	-0.267037903801501	0.789439977385582	0.748919858812131	0.0897053127890481	6.2524831304268	NA	NA	NA	-0.141027141164556	0.124849476405064	0.37590935002395
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p00000005_r2_0p01_kb10000	Inverse variance weighted	6	0.103919625624457	0.190360637895467	0.545909210923755	0.585128346515253	1.10951127505585	0.764000202586055	1.61127610347381	9.1775652849359	5	0.102187854634822	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p00000005_r2_0p01_kb10000	MR Egger	6	0.205713758379255	0.173336527478934	1.18678827464255	0.235311144986549	1.2284015340204	0.874567469441568	1.72539041470086	NA	NA	NA	0.0800202117461296	0.0290353014775893	0.051060744169134
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p000001_r2_0p001_kb10000	Inverse variance weighted	2	0.684671733157665	1.0581121584729	0.647069148270448	0.517587191534504	1.98312073589385	0.249267640717457	15.7772899916437	0.0406929861464724	1	0.840131696800252	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p000001_r2_0p001_kb10000	Inverse variance weighted	4	0.0882952890273252	0.200105102755773	0.441244565037849	0.659035953488906	1.09231062175157	0.737926751236987	1.61688472790998	1.92809792788828	3	0.58746352662241	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p000001_r2_0p001_kb10000	MR Egger	4	0.0810365365842923	0.13929543343245	0.581760181130347	0.560728228559037	1.08441051649921	0.825321300805868	1.42483438528226	NA	NA	NA	0.0441523845366316	0.0313426792697499	0.294276030804821
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p000001_r2_0p01_kb10000	Inverse variance weighted	4	0.0519113075952985	0.755805879971677	0.0686833867940321	0.945241642389766	1.05328232022869	0.239436216468093	4.63339950184259	6.19985264317638	3	0.102281620968194	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p000001_r2_0p01_kb10000	MR Egger	4	-0.289123298770166	1.08270509412432	-0.267037903801501	0.789439977385582	0.748919858812131	0.0897053127890481	6.2524831304268	NA	NA	NA	-0.141027141164556	0.124849476405064	0.37590935002395
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p000001_r2_0p01_kb10000	Inverse variance weighted	8	0.0999119245106471	0.186681795803818	0.535199075413028	0.59251220558197	1.10507358389266	0.766451087673941	1.59330144539749	9.49640094966064	7	0.218952314561513	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p000001_r2_0p01_kb10000	MR Egger	8	0.167593701782055	0.15021394250704	1.11570004078817	0.264550553113601	1.18245608323629	0.880887263453765	1.58726598373152	NA	NA	NA	0.0713423921125317	0.0237737784824035	0.0239807710525712
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p00001_r2_0p001_kb10000	Inverse variance weighted	2	0.684671733157665	1.0581121584729	0.647069148270448	0.517587191534504	1.98312073589385	0.249267640717457	15.7772899916437	0.0406929861464724	1	0.840131696800252	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p00001_r2_0p001_kb10000	Inverse variance weighted	4	0.0882952890273252	0.200105102755773	0.441244565037849	0.659035953488906	1.09231062175157	0.737926751236987	1.61688472790998	1.92809792788828	3	0.58746352662241	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p00001_r2_0p001_kb10000	MR Egger	4	0.0810365365842923	0.13929543343245	0.581760181130347	0.560728228559037	1.08441051649921	0.825321300805868	1.42483438528226	NA	NA	NA	0.0441523845366316	0.0313426792697499	0.294276030804821
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p00001_r2_0p01_kb10000	Inverse variance weighted	5	0.0661366043107726	0.737616393295428	0.0896626009290492	0.928555336327497	1.06837265150784	0.251681337210576	4.53517982358342	6.20730201411498	4	0.184192487572655	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_BBJ_Myocarditis	East Asian / BBJ	p0p00001_r2_0p01_kb10000	MR Egger	5	-0.0428913695235421	0.928148238714301	-0.0462117663262029	0.963141464322707	0.958015454089898	0.155351976956212	5.90783347761173	NA	NA	NA	-0.0925373137475905	0.0936404191348873	0.395902050652222
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p00001_r2_0p01_kb10000	Inverse variance weighted	9	0.101786538658707	0.185158988753476	0.549725073267856	0.582507956698495	1.10714711339431	0.770184579443516	1.59153372245264	9.50260709410399	8	0.301684186307031	NA	NA	NA
AHR_expression_eQTLGen_whole_blood	Sakaue2021_EUR_Myocarditis	European	p0p00001_r2_0p01_kb10000	MR Egger	9	0.133578910306266	0.153787393110079	0.868594672195607	0.385068869627429	1.1429114500694	0.845485398724947	1.5449664591129	NA	NA	NA	0.0579220200081556	0.0221126098352634	0.0344386625786966
