instrument_setting	outcome_dataset	n_exposure_instruments	n_position_matched_rows	n_allele_compatible_rows	n_dropped_ambiguous_palindromic	n_harmonised	missing_exposure_snps
p0p00000005_r2_0p001_kb10000	Sakaue2021_BBJ_Myocarditis	3	1	1	0	1	2
p0p00000005_r2_0p001_kb10000	Sakaue2021_EUR_Myocarditis	3	3	3	0	3	0
p0p00000005_r2_0p001_kb10000	FinnGen_R12_I9_MYOCARD	3	0	0	0	0	3
p0p00000005_r2_0p01_kb10000	Sakaue2021_BBJ_Myocarditis	6	4	4	0	4	2
p0p00000005_r2_0p01_kb10000	Sakaue2021_EUR_Myocarditis	6	6	6	0	6	0
p0p00000005_r2_0p01_kb10000	FinnGen_R12_I9_MYOCARD	6	0	0	0	0	6
p0p000001_r2_0p001_kb10000	Sakaue2021_BBJ_Myocarditis	4	2	2	0	2	2
p0p000001_r2_0p001_kb10000	Sakaue2021_EUR_Myocarditis	4	4	4	0	4	0
p0p000001_r2_0p001_kb10000	FinnGen_R12_I9_MYOCARD	4	0	0	0	0	4
p0p000001_r2_0p01_kb10000	Sakaue2021_BBJ_Myocarditis	8	4	4	0	4	4
p0p000001_r2_0p01_kb10000	Sakaue2021_EUR_Myocarditis	8	8	8	0	8	0
p0p000001_r2_0p01_kb10000	FinnGen_R12_I9_MYOCARD	8	0	0	0	0	8
p0p00001_r2_0p001_kb10000	Sakaue2021_BBJ_Myocarditis	4	2	2	0	2	2
p0p00001_r2_0p001_kb10000	Sakaue2021_EUR_Myocarditis	4	4	4	0	4	0
p0p00001_r2_0p001_kb10000	FinnGen_R12_I9_MYOCARD	4	0	0	0	0	4
p0p00001_r2_0p01_kb10000	Sakaue2021_BBJ_Myocarditis	9	5	5	0	5	4
p0p00001_r2_0p01_kb10000	Sakaue2021_EUR_Myocarditis	9	9	9	0	9	0
p0p00001_r2_0p01_kb10000	FinnGen_R12_I9_MYOCARD	9	0	0	0	0	9
