id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
ebi-met1400-GCST90199636	finngen_R10_I9_MYOCARD	Myocarditis	Kynurenine levels	MR Egger	4.3374535154603	3	0.227255441486941
ebi-met1400-GCST90199636	finngen_R10_I9_MYOCARD	Myocarditis	Kynurenine levels	Inverse variance weighted	4.69651938631373	4	0.319876921692643
ebi-met1400-GCST90200661	finngen_R10_I9_MYOCARD	Myocarditis	X-25422 levels	MR Egger	0.731669831261291	4	0.947366722509365
ebi-met1400-GCST90200661	finngen_R10_I9_MYOCARD	Myocarditis	X-25422 levels	Inverse variance weighted	0.763033090102577	5	0.979331048127376
ebi-met1400-GCST90199813	finngen_R10_I9_MYOCARD	Myocarditis	Deoxycarnitine levels	MR Egger	1.92306681439062	3	0.588526984510142
ebi-met1400-GCST90199813	finngen_R10_I9_MYOCARD	Myocarditis	Deoxycarnitine levels	Inverse variance weighted	2.44556844045302	4	0.654408400464478
ebi-met1400-GCST90200680	finngen_R10_I9_MYOCARD	Myocarditis	5-acetylamino-6-formylamino-3-methyluracil levels	MR Egger	2.49053745533987	2	0.287863540837282
ebi-met1400-GCST90200680	finngen_R10_I9_MYOCARD	Myocarditis	5-acetylamino-6-formylamino-3-methyluracil levels	Inverse variance weighted	2.51294366204018	3	0.472956414783831
ebi-met1400-GCST90199772	finngen_R10_I9_MYOCARD	Myocarditis	1-stearoyl-GPE (18:0) levels	MR Egger	5.84329397344236	5	0.321767006984429
ebi-met1400-GCST90199772	finngen_R10_I9_MYOCARD	Myocarditis	1-stearoyl-GPE (18:0) levels	Inverse variance weighted	5.92993574220516	6	0.43108438540291
