dataset	score	n_requested	n_present	genes_present
GSE166489	KYN_metabolism_score	9	8	AADAT,AFMID,HAAO,IDO1,IDO2,KMO,KYNU,QPRT
GSE166489	AHR_response_score	9	9	AHR,AHRR,ALDH1A1,ARNT,CYP1A1,CYP1B1,NQO1,PTGS2,TIPARP
GSE166489	AHR_regulon_proxy_score	13	13	AHR,AHRR,ALDH1A1,ARNT,CYP1A1,CYP1B1,IL1B,IRF1,NFKBIA,NQO1,PTGS2,STAT1,TIPARP
GSE166489	myeloid_inflammation_score	11	11	CCL2,CCL3,CCL4,CXCL8,IL1B,IRF1,NFKBIA,S100A8,S100A9,STAT1,TNF
GSE166489	chemotaxis_score	11	11	CCL2,CCL3,CCL4,CCL5,CCR1,CCR2,CCR5,CXCL8,CXCR4,ITGAM,ITGB2
GSE166489	antigen_presentation_score	7	7	CD74,CIITA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DRA,HLA-DRB1
GSE166489	marker_T_cell	5	5	CCR7,CD3D,CD3E,IL7R,TRAC
GSE166489	marker_CD8_T	4	4	CD8A,CD8B,GZMH,GZMK
GSE166489	marker_NK	4	4	GNLY,KLRD1,NKG7,PRF1
GSE166489	marker_B_cell	4	4	BANK1,CD79A,CD79B,MS4A1
GSE166489	marker_Plasmablast	4	4	IGHG1,JCHAIN,MZB1,XBP1
GSE166489	marker_Monocyte	5	5	FCN1,LST1,LYZ,S100A8,S100A9
GSE166489	marker_CD16_Monocyte	4	4	CTSS,FCGR3A,LST1,MS4A7
GSE166489	marker_DC	4	4	CD1C,CLEC10A,CST3,FCER1A
GSE166489	marker_pDC	4	4	GZMB,IRF7,LILRA4,TCF4
GSE166489	marker_Platelet	3	3	NRGN,PF4,PPBP
