dataset	cell_type_v0	score	n_pairs	mean_delta_acute_minus_recovery	median_delta_acute_minus_recovery	wilcoxon_p_value	wilcoxon_fdr	table_type
GSE166489	CD16_Monocyte	AHR_regulon_proxy_score	2	-0.07710364603419245	-0.07710364603419245	1.0	1.0	summary
GSE166489	CD16_Monocyte	AHR_response_score	2	0.0131423465313949	0.0131423465313949	1.0	1.0	summary
GSE166489	CD16_Monocyte	KYN_metabolism_score	2	-0.057925558741777544	-0.057925558741777544	0.5	0.8181818181818181	summary
GSE166489	CD16_Monocyte	Kyn_AHR_axis_score	2	-0.43140726386709566	-0.43140726386709566	1.0	1.0	summary
GSE166489	CD16_Monocyte	Kyn_AHR_myeloid_score	2	-0.3093956644968522	-0.3093956644968522	1.0	1.0	summary
GSE166489	CD16_Monocyte	antigen_presentation_score	2	0.16342922703051088	0.16342922703051088	0.5	0.8181818181818181	summary
GSE166489	CD16_Monocyte	chemotaxis_score	2	-0.1061114663036621	-0.1061114663036621	0.5	0.8181818181818181	summary
GSE166489	CD16_Monocyte	myeloid_effector_score	2	-0.047805386255449875	-0.047805386255449875	1.0	1.0	summary
GSE166489	CD16_Monocyte	myeloid_inflammation_score	2	0.03210289627043811	0.03210289627043811	1.0	1.0	summary
GSE166489	DC	AHR_regulon_proxy_score	2	-0.09040372276569449	-0.09040372276569449	0.5	0.8181818181818181	summary
GSE166489	DC	AHR_response_score	2	-0.031454637763351154	-0.031454637763351154	0.5	0.8181818181818181	summary
GSE166489	DC	KYN_metabolism_score	2	0.04713554234749506	0.04713554234749506	1.0	1.0	summary
GSE166489	DC	Kyn_AHR_axis_score	2	0.033572176127056375	0.033572176127056375	1.0	1.0	summary
GSE166489	DC	Kyn_AHR_myeloid_score	2	-0.04962885456276506	-0.04962885456276506	1.0	1.0	summary
GSE166489	DC	antigen_presentation_score	2	-1.3752876040132023	-1.3752876040132023	0.5	0.8181818181818181	summary
GSE166489	DC	chemotaxis_score	2	-0.0554109381502225	-0.0554109381502225	1.0	1.0	summary
GSE166489	DC	myeloid_effector_score	2	-0.6347838086125956	-0.6347838086125956	0.5	0.8181818181818181	summary
GSE166489	DC	myeloid_inflammation_score	2	-0.16960379742076326	-0.16960379742076326	0.5	0.8181818181818181	summary
GSE166489	Monocyte	AHR_regulon_proxy_score	2	-0.2566877116007982	-0.2566877116007982	0.5	0.8181818181818181	summary
GSE166489	Monocyte	AHR_response_score	2	-0.1074195567915357	-0.1074195567915357	0.5	0.8181818181818181	summary
GSE166489	Monocyte	KYN_metabolism_score	2	-0.036299138331065954	-0.036299138331065954	0.5	0.8181818181818181	summary
GSE166489	Monocyte	Kyn_AHR_axis_score	2	-0.9710089467710441	-0.9710089467710441	0.5	0.8181818181818181	summary
GSE166489	Monocyte	Kyn_AHR_myeloid_score	2	-0.8221584489267836	-0.8221584489267836	0.5	0.8181818181818181	summary
GSE166489	Monocyte	antigen_presentation_score	2	-0.5592283863393386	-0.5592283863393386	0.5	0.8181818181818181	summary
GSE166489	Monocyte	chemotaxis_score	2	-0.22897611278059038	-0.22897611278059038	0.5	0.8181818181818181	summary
GSE166489	Monocyte	myeloid_effector_score	2	-0.5813928359006781	-0.5813928359006781	0.5	0.8181818181818181	summary
GSE166489	Monocyte	myeloid_inflammation_score	2	-0.2128929303486755	-0.2128929303486755	0.5	0.8181818181818181	summary
GSE166489	pDC	AHR_regulon_proxy_score	2	0.0470898766819427	0.0470898766819427	0.5	0.8181818181818181	summary
GSE166489	pDC	AHR_response_score	2	0.0325046935780111	0.0325046935780111	0.5	0.8181818181818181	summary
GSE166489	pDC	KYN_metabolism_score	2	-0.006233150613596998	-0.006233150613596998	1.0	1.0	summary
GSE166489	pDC	Kyn_AHR_axis_score	2	0.14089206556236694	0.14089206556236694	0.5	0.8181818181818181	summary
GSE166489	pDC	Kyn_AHR_myeloid_score	2	0.13414129797553273	0.13414129797553273	0.5	0.8181818181818181	summary
GSE166489	pDC	antigen_presentation_score	2	-0.5291122713193032	-0.5291122713193032	1.0	1.0	summary
GSE166489	pDC	chemotaxis_score	2	0.04435203019630519	0.04435203019630519	1.0	1.0	summary
GSE166489	pDC	myeloid_effector_score	2	-0.09197390555056695	-0.09197390555056695	1.0	1.0	summary
GSE166489	pDC	myeloid_inflammation_score	2	0.06455195138854765	0.06455195138854765	0.5	0.8181818181818181	summary
