dataset	claim	cell_type_v0	score	positive_group	negative_group	positive_mean	negative_mean	diff_positive_minus_negative	direction_flag
CNP0005824	CVB3_myocarditis > control	Monocyte	Kyn_AHR_myeloid_score	CVB3_myocarditis	control	0.4466765513518401	-0.1987419289860569	0.645418480337897	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	Monocyte	Kyn_AHR_axis_score	CVB3_myocarditis	control	0.1407272950539854	-0.2181310946897131	0.3588583897436985	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	Monocyte	myeloid_inflammation_score	CVB3_myocarditis	control	0.38408779836942203	-0.0053420437972703	0.38942984216669235	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	Monocyte	AHR_response_score	CVB3_myocarditis	control	-0.02086330031794995	-0.107856806324723	0.08699350600677305	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	Monocyte	KYN_metabolism_score	CVB3_myocarditis	control	-0.004246495737184184	0.0058654073572868	-0.010111903094470985	opposes_expected_direction
CNP0005824	CVB3_myocarditis > control	CD16_Monocyte	Kyn_AHR_myeloid_score	CVB3_myocarditis	control	0.29090192074322874	-0.2610441433881367	0.5519460641313654	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	CD16_Monocyte	Kyn_AHR_axis_score	CVB3_myocarditis	control	0.17426292955513323	-0.1941443136219394	0.36840724317707263	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	CD16_Monocyte	myeloid_inflammation_score	CVB3_myocarditis	control	0.19683597226757665	-0.0884414889364468	0.2852774612040234	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	CD16_Monocyte	AHR_response_score	CVB3_myocarditis	control	-0.025280165061313215	-0.0909994577385528	0.06571929267723958	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	CD16_Monocyte	KYN_metabolism_score	CVB3_myocarditis	control	0.0019415071422070832	-0.0006610124442364	0.0026025195864434834	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	DC	Kyn_AHR_myeloid_score	CVB3_myocarditis	control	0.11651029307176407	-0.398367286913425	0.514877579985189	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	DC	Kyn_AHR_axis_score	CVB3_myocarditis	control	0.05771067809220896	-0.3301285253776606	0.38783920346986955	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	DC	myeloid_inflammation_score	CVB3_myocarditis	control	0.1068176653012441	-0.1250118402136792	0.23182950551492332	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	DC	AHR_response_score	CVB3_myocarditis	control	-0.027258172129717515	-0.1013383744533512	0.07408020232363369	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	DC	KYN_metabolism_score	CVB3_myocarditis	control	-0.0007033474320342167	-0.0053229634412189	0.004619616009184683	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	pDC	Kyn_AHR_myeloid_score	CVB3_myocarditis	control	0.19475588262055743	-0.3082847216130474	0.5030406042336049	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	pDC	Kyn_AHR_axis_score	CVB3_myocarditis	control	0.16958173448403135	-0.2085047090129691	0.3780864434970005	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	pDC	myeloid_inflammation_score	CVB3_myocarditis	control	0.10096216038122237	-0.1261868289522978	0.22714898933352018	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	pDC	AHR_response_score	CVB3_myocarditis	control	-0.0022098824389558155	-0.0639048884703486	0.06169500603139279	supports_expected_direction
CNP0005824	CVB3_myocarditis > control	pDC	KYN_metabolism_score	CVB3_myocarditis	control	-0.0018483156392974664	-0.0067428153479154	0.0048944997086179335	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	Monocyte	Kyn_AHR_myeloid_score	CVB3_myocarditis	IVIG_treated	0.4466765513518401	0.07099164922697135	0.3756849021248687	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	Monocyte	Kyn_AHR_axis_score	CVB3_myocarditis	IVIG_treated	0.1407272950539854	-0.05881496996908353	0.19954226502306893	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	Monocyte	myeloid_inflammation_score	CVB3_myocarditis	IVIG_treated	0.38408779836942203	0.15015729398292538	0.23393050438649665	supports_expected_direction
