metric	stage_order	score	CVB3	IVIG	delta_CVB3_minus_IVIG
mean	1	AHR_regulon_proxy_score_expr	0.14127873397040444	0.11016161391852203	0.031117120051882413
mean	1	AHR_response_score_expr	0.038065820419621386	0.04352721723609849	-0.0054613968164771015
mean	1	KYN_metabolism_score_expr	0.0032862753401356297	0.004507401912483779	-0.0012211265723481492
mean	1	Kyn_AHR_axis_score_expr	3.27646658947536e-17	8.7998962733465e-18	2.3964769621407098e-17
mean	1	Kyn_AHR_myeloid_score_expr	1.63823329473768e-17	9.777662525940556e-18	6.604670421436244e-18
mean	1	Kyn_AHR_myeloid_score_z	8.270669468913177e-08	-5.1175323225895115e-09	8.782422701172128e-08
mean	1	myeloid_inflammation_score_expr	0.16538681082212345	0.11538225550830437	0.050004555313819074
mean	2	AHR_regulon_proxy_score_expr	0.07187919182520092	0.09927152562881443	-0.027392333803613514
mean	2	AHR_response_score_expr	0.031072341888031818	0.04511004997833433	-0.014037708090302511
mean	2	KYN_metabolism_score_expr	0.0019986090069529882	0.004741348976183888	-0.0027427399692309
mean	2	Kyn_AHR_axis_score_expr	-3.3263996992614623e-18	1.2289804629113672e-17	-1.5616204328375135e-17
mean	2	Kyn_AHR_myeloid_score_expr	5.702399484448221e-17	5.376789525237232e-18	5.164720531924497e-17
mean	2	Kyn_AHR_myeloid_score_z	1.6288568674172673e-08	2.1772364612643987e-08	-5.483795938471314e-09
mean	2	myeloid_inflammation_score_expr	0.09813383672124186	0.10616884016607601	-0.008035003444834155
mean	3	AHR_regulon_proxy_score_expr	0.12850068063198428	0.10370141654067178	0.0247992640913125
mean	3	AHR_response_score_expr	0.08638158801545585	0.04141652189797288	0.04496506611748297
mean	3	KYN_metabolism_score_expr	0.0030671398750422626	0.003526035849241527	-0.0004588959741992646
mean	3	Kyn_AHR_axis_score_expr	-6.513760755631171e-17	-9.082449567124919e-19	-6.422936259959921e-17
mean	3	Kyn_AHR_myeloid_score_expr	1.44750239014026e-17	-2.906383861479974e-17	4.3538862516202336e-17
mean	3	Kyn_AHR_myeloid_score_z	6.625023432149971e-09	1.0528203945308024e-08	-3.903180513158054e-09
mean	3	myeloid_inflammation_score_expr	0.17958332592232978	0.11456029027442334	0.06502303564790644
mean	4	AHR_regulon_proxy_score_expr	0.11691422361235305	0.08050376721607741	0.036410456396275645
mean	4	AHR_response_score_expr	0.07845280671749442	0.045592747620569175	0.03286005909692525
mean	4	KYN_metabolism_score_expr	0.0032871772344022173	0.0030513217705725516	0.00023585546382966574
mean	4	Kyn_AHR_axis_score_expr	-5.990809220254442e-17	-6.194792813950307e-18	-5.371329938859412e-17
mean	4	Kyn_AHR_myeloid_score_expr	-2.6209790338613187e-17	8.259723751933743e-18	-3.446951409054693e-17
mean	4	Kyn_AHR_myeloid_score_z	-3.14942534373859e-08	-2.452777116728605e-08	-6.96648227009985e-09
mean	4	myeloid_inflammation_score_expr	0.1525919987299477	0.11516131878719794	0.03743067994274975
mean	5	AHR_regulon_proxy_score_expr	0.07763004290446321	0.09228141708484337	-0.014651374180380164
mean	5	AHR_response_score_expr	0.062368648055728754	0.04111610526374464	0.021252542791984116
mean	5	KYN_metabolism_score_expr	0.0019018100467863314	0.003825137216008317	-0.0019233271692219854
mean	5	Kyn_AHR_axis_score_expr	1.853992787371429e-17	-4.881807588573519e-17	6.735800375944948e-17
mean	5	Kyn_AHR_myeloid_score_expr	-7.945683374448982e-18	-5.230508130614485e-17	4.4359397931695865e-17
mean	5	Kyn_AHR_myeloid_score_z	-5.3565758615024e-08	3.928905527485597e-09	-5.74946641425096e-08
mean	5	myeloid_inflammation_score_expr	0.09020751144057629	0.16581979895044469	-0.0756122875098684
mean	6	AHR_regulon_proxy_score_expr	0.2038116053064789	0.1313841555583217	0.07242744974815721
mean	6	AHR_response_score_expr	0.11426656279415831	0.04517854420391466	0.06908801859024366
mean	6	KYN_metabolism_score_expr	0.004793835719104657	0.005698320269927091	-0.0009044845508224342
mean	6	Kyn_AHR_axis_score_expr	-7.497746967685126e-19	-1.2294456334120907e-17	1.1544681637352395e-17
mean	6	Kyn_AHR_myeloid_score_expr	-1.6495043328907277e-17	-1.844168450118136e-17	1.946641172274084e-18
mean	6	Kyn_AHR_myeloid_score_z	-1.645717126605684e-07	2.778432252111339e-09	-1.6735014491267974e-07
mean	6	myeloid_inflammation_score_expr	0.48805619486162355	0.19020290262662773	0.2978532922349958
mean	7	AHR_regulon_proxy_score_expr	0.12059935254751757	0.14820926671725254	-0.027609914169734975
mean	7	AHR_response_score_expr	0.058274818712605356	0.055682883786432796	0.0025919349261725594
mean	7	KYN_metabolism_score_expr	0.0030110174807286	0.005496618613701671	-0.002485601132973071
mean	7	Kyn_AHR_axis_score_expr	-1.3468585976918495e-17	7.794671154431618e-18	-2.1263257131350112e-17
mean	7	Kyn_AHR_myeloid_score_expr	-1.3468585976918495e-17	-1.0912539616204264e-17	-2.556046360714231e-18
mean	7	Kyn_AHR_myeloid_score_z	3.643051749401315e-08	4.4182116111660114e-08	-7.751598617646962e-09
mean	7	myeloid_inflammation_score_expr	0.23849044234367134	0.2402014272788154	-0.001710984935144072
median	1	AHR_regulon_proxy_score_expr	0.1452951282262802	0.1108386479318142	0.03445648029446602
median	1	AHR_response_score_expr	0.0	0.0	0.0
median	1	KYN_metabolism_score_expr	0.0	0.0	0.0
