metric	score	n_days	mean_delta_CVB3_minus_IVIG	median_delta_CVB3_minus_IVIG	n_positive_days	wilcoxon_p_value
hotspot_fraction_control_q90	AHR_regulon_proxy_score_expr	7	0.042845394327498086	0.06732727904015007	4	0.21875
hotspot_fraction_control_q90	AHR_response_score_expr	7	0.06292059241484527	0.0799842294635679	6	0.03125
hotspot_fraction_control_q90	KYN_metabolism_score_expr	7	-0.00817535629216294	-0.007583137912240825	2	0.078125
hotspot_fraction_control_q90	Kyn_AHR_axis_score_expr	7	-0.0037874104464182107	-0.004178975230860318	2	0.15625
hotspot_fraction_control_q90	Kyn_AHR_myeloid_score_expr	7	-0.005857584795180046	-0.006819827499278744	1	0.046875
hotspot_fraction_control_q90	Kyn_AHR_myeloid_score_z	7	0.0004436678245312159	-0.0011760698601984282	3	1.0
hotspot_fraction_control_q90	myeloid_inflammation_score_expr	7	0.10954247080141799	0.06657075799564588	6	0.109375
hotspot_fraction_control_q95	AHR_regulon_proxy_score_expr	7	0.03362385190254238	0.0371700441226116	4	0.21875
hotspot_fraction_control_q95	AHR_response_score_expr	7	0.04600272151184427	0.05449255359943349	6	0.03125
hotspot_fraction_control_q95	KYN_metabolism_score_expr	7	-0.00817535629216294	-0.007583137912240825	2	0.078125
hotspot_fraction_control_q95	Kyn_AHR_axis_score_expr	7	-0.003698241467722795	-0.0028086376047536596	0	0.015625
hotspot_fraction_control_q95	Kyn_AHR_myeloid_score_expr	7	-0.003448685654824742	-0.0030769143749624153	2	0.078125
hotspot_fraction_control_q95	Kyn_AHR_myeloid_score_z	7	-0.0037459521059859946	-0.001103524221490855	1	0.046875
hotspot_fraction_control_q95	myeloid_inflammation_score_expr	7	0.09182975062956047	0.04684741897093411	6	0.15625
hotspot_fraction_control_q99	AHR_regulon_proxy_score_expr	7	0.013871894549300129	0.009719666461583273	6	0.046875
hotspot_fraction_control_q99	AHR_response_score_expr	7	0.0145986487792389	0.016044702566433516	5	0.078125
hotspot_fraction_control_q99	KYN_metabolism_score_expr	7	-0.00817535629216294	-0.007583137912240825	2	0.078125
hotspot_fraction_control_q99	Kyn_AHR_axis_score_expr	7	0.0014144091270094905	0.0010236927437178491	5	0.15625
hotspot_fraction_control_q99	Kyn_AHR_myeloid_score_expr	7	0.0006747701205790543	0.0007066715897608503	4	0.46875
hotspot_fraction_control_q99	Kyn_AHR_myeloid_score_z	7	-0.0012521924376056415	-0.0013686774332361306	1	0.046875
hotspot_fraction_control_q99	myeloid_inflammation_score_expr	7	0.06785226972346582	0.03688676779473721	6	0.15625
mean	AHR_regulon_proxy_score_expr	7	0.013585809733414158	0.0247992640913125	4	0.375
mean	AHR_response_score_expr	7	0.021608359516575564	0.021252542791984116	5	0.15625
mean	KYN_metabolism_score_expr	7	-0.0013571885578523054	-0.0012211265723481492	1	0.03125
mean	Kyn_AHR_axis_score_expr	7	-7.422095489958515e-18	-1.5616204328375135e-17	3	
mean	Kyn_AHR_myeloid_score_expr	7	1.5867316701370333e-17	6.604670421436244e-18	5	
mean	Kyn_AHR_myeloid_score_z	7	-2.3017948483263466e-08	-6.96648227009985e-09	1	0.21875
mean	myeloid_inflammation_score_expr	7	0.052136183892803487	0.03743067994274975	4	0.46875
median	AHR_regulon_proxy_score_expr	7	-0.0021080843039921354	0.004645649343729019	4	1.0
median	AHR_response_score_expr	7	0.014242105185985565	0.0	1	1.0
