dataset	sample_id	group	stage	file_role	path	filename	size_bytes	size_gb	guessed_columns	first_nonempty_line
STT0000127	Control	control	control	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000921/STTS0001493/Control.bin50.gem.gz	Control.bin50.gem.gz	218623586	0.20361	geneID|x|y|counts|cell|geneIdx|cellIdx	"geneID	x	y	counts	cell	geneIdx	cellIdx"
STT0000127	Control	control	control	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000921/STTS0001493/Control.gem.gz	Control.gem.gz	384833330	0.3584	geneID|x|y|MIDCount	"geneID	x	y	MIDCount"
STT0000127	Control	control	control	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000921/STTS0001493/Final.Control.TissueCut.gem.gz	Final.Control.TissueCut.gem.gz	186010304	0.17324	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	CVB3d1	CVB3_myocarditis	day1	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000922/STTS0001494/CVB3d1.bin50.gem.gz	CVB3d1.bin50.gem.gz	267130457	0.24878	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	CVB3d1	CVB3_myocarditis	day1	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000922/STTS0001494/CVB3d1.gem.gz	CVB3d1.gem.gz	409738189	0.3816	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	CVB3d1	CVB3_myocarditis	day1	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000922/STTS0001494/Final.CVB3d1.TissueCut.gem.gz	Final.CVB3d1.TissueCut.gem.gz	225238819	0.20977	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	CVB3d2	CVB3_myocarditis	day2	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000923/STTS0001495/CVB3d2.bin50.gem.gz	CVB3d2.bin50.gem.gz	187333058	0.17447	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	CVB3d2	CVB3_myocarditis	day2	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000923/STTS0001495/CVB3d2.gem.gz	CVB3d2.gem.gz	378426524	0.35244	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	CVB3d2	CVB3_myocarditis	day2	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000923/STTS0001495/Final.CVB3d2.TissueCut.gem.gz	Final.CVB3d2.TissueCut.gem.gz	196355227	0.18287	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	CVB3d3	CVB3_myocarditis	day3	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000924/STTS0001496/CVB3d3.bin50.gem.gz	CVB3d3.bin50.gem.gz	293230492	0.27309	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	CVB3d3	CVB3_myocarditis	day3	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000924/STTS0001496/CVB3d3.gem.gz	CVB3d3.gem.gz	498648084	0.4644	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	CVB3d3	CVB3_myocarditis	day3	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000924/STTS0001496/Final.CVB3d3.TissueCut.gem.gz	Final.CVB3d3.TissueCut.gem.gz	235629654	0.21945	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	CVB3d4	CVB3_myocarditis	day4	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000925/STTS0001497/CVB3d4.bin50.gem.gz	CVB3d4.bin50.gem.gz	358662634	0.33403	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	CVB3d4	CVB3_myocarditis	day4	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000925/STTS0001497/CVB3d4.gem.gz	CVB3d4.gem.gz	544951076	0.50753	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	CVB3d4	CVB3_myocarditis	day4	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000925/STTS0001497/Final.CVB3d4.TissueCut.gem.gz	Final.CVB3d4.TissueCut.gem.gz	307367124	0.28626	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	CVB3d5	CVB3_myocarditis	day5	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000926/STTS0001498/CVB3d5.bin50.gem.gz	CVB3d5.bin50.gem.gz	137889945	0.12842	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	CVB3d5	CVB3_myocarditis	day5	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000926/STTS0001498/CVB3d5.gem.gz	CVB3d5.gem.gz	213028389	0.1984	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	CVB3d5	CVB3_myocarditis	day5	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000926/STTS0001498/Final.CVB3d5.TissueCut.gem.gz	Final.CVB3d5.TissueCut.gem.gz	102294677	0.09527	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	CVB3d6	CVB3_myocarditis	day6	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000927/STTS0001499/CVB3d6.bin50.gem.gz	CVB3d6.bin50.gem.gz	705334037	0.65689	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	CVB3d6	CVB3_myocarditis	day6	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000927/STTS0001499/CVB3d6.gem.gz	CVB3d6.gem.gz	950838018	0.88554	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	CVB3d6	CVB3_myocarditis	day6	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000927/STTS0001499/Final.CVB3d6.TissueCut.gem.gz	Final.CVB3d6.TissueCut.gem.gz	630643987	0.58733	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	CVB3d7	CVB3_myocarditis	day7	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000928/STTS0001500/CVB3d7.bin50.gem.gz	CVB3d7.bin50.gem.gz	218621157	0.20361	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	CVB3d7	CVB3_myocarditis	day7	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000928/STTS0001500/CVB3d7.gem.gz	CVB3d7.gem.gz	268143065	0.24973	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	CVB3d7	CVB3_myocarditis	day7	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000928/STTS0001500/Final.CVB3d7.TissueCut.gem.gz	Final.CVB3d7.TissueCut.gem.gz	159082852	0.14816	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	IVIGd1	IVIG_treated	day1	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000929/STTS0001501/Final.IVIGd1.TissueCut.gem.gz	Final.IVIGd1.TissueCut.gem.gz	263285225	0.2452	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	IVIGd1	IVIG_treated	day1	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000929/STTS0001501/IVIGd1.bin50.gem.gz	IVIGd1.bin50.gem.gz	327603261	0.3051	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	IVIGd1	IVIG_treated	day1	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000929/STTS0001501/IVIGd1.gem.gz	IVIGd1.gem.gz	523476295	0.48753	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
