sample_id	group	stage	stage_order	score	threshold_level	threshold	n_bins	n_hotspot_bins	hotspot_fraction	hotspot_mean_score
CVB3d1	CVB3_myocarditis	day1	1	KYN_metabolism_score_expr	control_q90	0.0	34698	508	0.014640613291832381	0.22446295620477574
CVB3d1	CVB3_myocarditis	day1	1	KYN_metabolism_score_expr	control_q95	0.0	34698	508	0.014640613291832381	0.22446295620477574
CVB3d1	CVB3_myocarditis	day1	1	KYN_metabolism_score_expr	control_q99	0.0	34698	508	0.014640613291832381	0.22446295620477574
CVB3d1	CVB3_myocarditis	day1	1	AHR_response_score_expr	control_q90	0.2275528907775879	34698	2814	0.08109977520318173	0.31220812247781443
CVB3d1	CVB3_myocarditis	day1	1	AHR_response_score_expr	control_q95	0.2783159330487248	34698	1577	0.045449305435471786	0.3598958773180587
CVB3d1	CVB3_myocarditis	day1	1	AHR_response_score_expr	control_q99	0.4071645021438584	34698	311	0.008963052625511557	0.5024008962694089
CVB3d1	CVB3_myocarditis	day1	1	AHR_regulon_proxy_score_expr	control_q90	0.23245754837989807	34698	8443	0.2433281457144504	0.3446543469952701
CVB3d1	CVB3_myocarditis	day1	1	AHR_regulon_proxy_score_expr	control_q95	0.30866452008485784	34698	4696	0.135339212634734	0.40803538681701257
CVB3d1	CVB3_myocarditis	day1	1	AHR_regulon_proxy_score_expr	control_q99	0.4457379820942871	34698	1181	0.03403654389301977	0.5259193488089944
CVB3d1	CVB3_myocarditis	day1	1	myeloid_inflammation_score_expr	control_q90	0.25316372513771057	34698	10253	0.29549253559282956	0.39009032773353014
CVB3d1	CVB3_myocarditis	day1	1	myeloid_inflammation_score_expr	control_q95	0.3147238790988922	34698	6455	0.18603377716294886	0.4535542624667114
CVB3d1	CVB3_myocarditis	day1	1	myeloid_inflammation_score_expr	control_q99	0.4943439552187893	34698	1903	0.05484465963456107	0.6109964975512661
CVB3d1	CVB3_myocarditis	day1	1	Kyn_AHR_axis_score_expr	control_q90	0.9517981377246238	34698	3268	0.0941841028301343	1.6269784958539395
